origin,    yr,trip_code,  sample_no,sub_sample_no,area ,species,    fish_no,prep_no   ,block_no,agreed_result1,agreed_result2,method,agreed_age,agreed_error1,agreed_error2,proj_code   ,comments,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,11,193,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,12,194,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,14,195,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,15,196,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,17,197,,18,W,22,19,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,19,198,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,20,199,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,21,200,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,22,201,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,23,202,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,24,203,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,1,204,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,3,205,,3,W,22,4,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,4,206,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,5,207,,12,W,22,13,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,6,208,,14,W,22,15,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,8,209,,14,W,22,15,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,9,210,,3,W,22,4,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,11,211,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,12,212,,17,W,22,18,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,13,213,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,15,214,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,17,215,,3,W,22,4,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,18,216,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,19,217,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,20,218,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,21,219,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,22,220,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,23,221,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,24,222,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,25,223,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,26,224,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,27,225,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,28,226,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,29,227,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,17,1,BPLE,SNA,30,228,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,1,229,,5,W,22,6,,,INT201803,,,,,,
